VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTMEB3FV6N,Monroe,Key West,FL,33040,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,,198968248,POINT (-81.80023 24.5545),,12087972100
1G1RD6E45D,Clark,Laughlin,NV,89029,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,,5204412,POINT (-114.57245 35.16815),,32003005702
JN1AZ0CP8B,Yakima,Yakima,WA,98901,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,15,218972519,POINT (-120.50721 46.60448),PACIFICORP,53077001602
1G1FW6S08H,Skagit,Concrete,WA,98237,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,39,186750406,POINT (-121.7515 48.53892),PUGET SOUND ENERGY INC,53057951101
3FA6P0SU1K,Snohomish,Everett,WA,98201,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,38,2006714,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061041500
5YJ3E1EB5J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,475635324,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051916
1N4AZ0CP4D,Snohomish,Everett,WA,98203,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,38,253546023,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061040900
1N4AZ0CP0D,Snohomish,Mukilteo,WA,98275,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21,176817364,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042001
1N4BZ0CP4G,Island,Clinton,WA,98236,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,10,475900379,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972100
KNDJP3AE2G,Skagit,Anacortes,WA,98221,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,40,100489049,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940301
WA1F2AFY1L,Thurston,Lacey,WA,98516,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,22,103317238,POINT (-122.75379 47.06316),PUGET SOUND ENERGY INC,53067012221
5YJXCBE23L,Grant,Moses Lake,WA,98837,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,13,3214494,POINT (-119.2771 47.13196),PUD NO 2 OF GRANT COUNTY,53025010904
3C3CFFGE3G,St. Clair,Mascoutah,IL,62258,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,,153786167,POINT (-89.79939 38.49028),,17163504356
1G1RD6S50G,Thurston,Rochester,WA,98579,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,20,476126752,POINT (-123.08743 46.82175),PUGET SOUND ENERGY INC,53067012730
5YJ3E1EA1J,Skagit,Burlington,WA,98233,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40,211534823,POINT (-122.33029 48.46846),PUGET SOUND ENERGY INC,53057951600
1N4BZ1CP4K,Snohomish,Everett,WA,98201,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,38,203204347,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040100
1N4AZ0CP4D,Pierce,Kapowsin,WA,98344,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,2,237061968,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073119
